species	peak	is_hard	left_coord	right_coord	accession	contig_num_LABEL_in_webtool
Alistipes_finegoldii_56071	2	False	93486	98682	AENZ01000003	2
Alistipes_finegoldii_56071	3	True	40443	50303	AENZ01000009	5
Alistipes_finegoldii_56071	4	False	35679	42709	AENZ01000019	10
Alistipes_finegoldii_56071	5	True	11597	16981	AENZ01000021	11
Alistipes_finegoldii_56071	6	False	41110	44863	AENZ01000021	11
Alistipes_finegoldii_56071	7	True	105492	111503	AENZ01000021	11
Alistipes_finegoldii_56071	9	False	80394	88136	AENZ01000051	25
Alistipes_finegoldii_56071	10	True	38573	43266	AENZ01000064	32
Alistipes_putredinis_61533	1	False	560524	576131	NZ_DS499577	1
Alistipes_putredinis_61533	2	False	658735	668011	NZ_DS499577	1
Alistipes_putredinis_61533	3	False	16379	26502	NZ_DS499581	4
Alistipes_putredinis_61533	4	True	168650	181322	NZ_DS499581	4
Bacteroides_cellulosilyticus_58046	2	False	21632	56068	NZ_EQ973488	3
Bacteroides_cellulosilyticus_58046	3	True	573141	593299	NZ_EQ973489	4
Bacteroides_cellulosilyticus_58046	4	False	659460	688466	NZ_EQ973490	5
Bacteroides_cellulosilyticus_58046	5	False	831092	869810	NZ_EQ973490	5
Bacteroides_cellulosilyticus_58046	6	False	1088606	1122667	NZ_EQ973490	5
Bacteroides_cellulosilyticus_58046	7	True	1238863	1265068	NZ_EQ973490	5
Bacteroides_cellulosilyticus_58046	9	False	1680746	1710255	NZ_EQ973490	5
Bacteroides_cellulosilyticus_58046	10	True	391256	415502	NZ_EQ973491	6
Bacteroides_cellulosilyticus_58046	11	False	632625	663244	NZ_EQ973491	6
Bacteroides_cellulosilyticus_58046	12	False	781618	806623	NZ_EQ973491	6
Bacteroides_cellulosilyticus_58046	13	False	1125384	1140347	NZ_EQ973491	6
Bacteroides_cellulosilyticus_58046	14	False	561108	585631	NZ_EQ973492	7
Bacteroides_cellulosilyticus_58046	15	False	253990	293183	NZ_EQ973495	10
Bacteroides_cellulosilyticus_58046	16	False	516205	534980	NZ_EQ973495	10
Bacteroides_thetaiotaomicron_56941	1	True	43623	61648	NZ_GG695899	1
Bacteroides_thetaiotaomicron_56941	4	True	473253	487067	NZ_GG695902	4
Bacteroides_uniformis_57318	1	True	1086	15351	NZ_DS362244	26
Bacteroides_uniformis_57318	2	False	269559	298121	NZ_DS362248	30
Bacteroides_vulgatus_57955	2	True	2553455	2604819	NC_009614	1
Parabacteroides_distasonis_56985	1	False	83217	121083	ACUD01000001	1
Parabacteroides_distasonis_56985	2	False	723876	742758	ACUD01000002	2
Parabacteroides_distasonis_56985	5	False	1227488	1241885	ACUD01000002	2
Parabacteroides_distasonis_56985	6	True	1512677	1526842	ACUD01000002	2
Parabacteroides_distasonis_56985	7	False	1601086	1617407	ACUD01000002	2
Parabacteroides_distasonis_56985	8	False	37437	51057	ACUD01000003	3
Parabacteroides_distasonis_56985	9	False	310074	328703	ACUD01000003	3
Parabacteroides_distasonis_56985	10	True	261861	274984	ACUD01000004	4
Parabacteroides_distasonis_56985	11	False	298078	317865	ACUD01000004	4
Parabacteroides_distasonis_56985	12	False	355053	371497	ACUD01000004	4
Parabacteroides_distasonis_56985	13	False	119030	136232	ACUD01000005	5
Parabacteroides_distasonis_56985	14	True	11135	37260	ACUD01000007	7
Parabacteroides_distasonis_56985	15	False	152803	167235	ACUD01000008	8
Parabacteroides_distasonis_56985	16	True	233756	247482	ACUD01000008	8
Parabacteroides_distasonis_56985	17	False	137523	155399	ACUD01000009	9
Parabacteroides_distasonis_56985	18	False	2517	26520	ACUD01000010	10
Parabacteroides_distasonis_56985	19	True	33755	55303	ACUD01000011	11
Parabacteroides_distasonis_56985	20	False	80790	96546	ACUD01000012	12
